#Interface RMSD
complex_166w.pdb 0.718
complex_26w.pdb 0.349
complex_80w.pdb 0.379
complex_141w.pdb 0.529
complex_104w.pdb 0.789
complex_88w.pdb 0.333
complex_86w.pdb 0.107
complex_23w.pdb 1.046
complex_61w.pdb 0.056
complex_42w.pdb 0.836
complex_13w.pdb 0.751
complex_199w.pdb 0.441
complex_163w.pdb 0.347
complex_131w.pdb 0.184
complex_140w.pdb 0.108
complex_99w.pdb 0.839
complex_147w.pdb 0.807
complex_47w.pdb 0.762
complex_177w.pdb 1.221
complex_135w.pdb 0.698
complex_2w.pdb 0.509
complex_60w.pdb 0.224
complex_121w.pdb 0.875
complex_89w.pdb 0.203
complex_77w.pdb 0.309
complex_63w.pdb 0.246
complex_4w.pdb 0.240
complex_100w.pdb 0.324
complex_142w.pdb 0.948
complex_41w.pdb 0.644
complex_57w.pdb 0.930
complex_101w.pdb 0.959
complex_200w.pdb 0.322
complex_85w.pdb 0.463
complex_143w.pdb 0.657
complex_31w.pdb 0.236
complex_189w.pdb 0.344
complex_136w.pdb 0.363
complex_81w.pdb 0.187
complex_154w.pdb 0.987
complex_73w.pdb 0.636
complex_14w.pdb 1.008
complex_55w.pdb 0.438
complex_28w.pdb 0.353
complex_44w.pdb 0.267
complex_15w.pdb 0.290
complex_17w.pdb 0.285
complex_128w.pdb 0.356
complex_96w.pdb 0.836
complex_194w.pdb 0.600
complex_193w.pdb 0.704
complex_175w.pdb 0.285
complex_195w.pdb 0.652
complex_97w.pdb 0.619
complex_84w.pdb 1.163
complex_187w.pdb 0.642
complex_16w.pdb 0.860
complex_83w.pdb 0.476
complex_11w.pdb 0.524
complex_137w.pdb 0.916
complex_124w.pdb 1.057
complex_106w.pdb 0.299
complex_148w.pdb 0.628
complex_53w.pdb 0.338
complex_130w.pdb 0.324
complex_25w.pdb 0.580
complex_20w.pdb 0.265
complex_164w.pdb 0.201
complex_114w.pdb 0.256
complex_108w.pdb 1.026
complex_169w.pdb 0.456
complex_69w.pdb 0.501
complex_10w.pdb 0.112
complex_125w.pdb 0.952
complex_12w.pdb 0.499
complex_94w.pdb 0.440
complex_7w.pdb 0.471
complex_98w.pdb 0.779
complex_198w.pdb 0.830
complex_36w.pdb 0.740
complex_32w.pdb 0.735
complex_35w.pdb 1.103
complex_132w.pdb 0.992
complex_78w.pdb 0.535
complex_66w.pdb 0.995
complex_56w.pdb 0.510
complex_172w.pdb 0.914
complex_170w.pdb 0.784
complex_116w.pdb 0.696
complex_75w.pdb 0.360
complex_107w.pdb 0.974
complex_133w.pdb 0.525
complex_167w.pdb 0.718
complex_118w.pdb 0.583
complex_90w.pdb 0.384
complex_93w.pdb 0.405
