complex_7w.pdb 0.000
#Interface RMSD
complex_158w.pdb 0.128
complex_143w.pdb 0.140
complex_85w.pdb 0.143
complex_9w.pdb 0.157
complex_139w.pdb 0.160
complex_192w.pdb 0.162
complex_142w.pdb 0.166
complex_112w.pdb 0.171
complex_12w.pdb 0.191
complex_35w.pdb 0.197
complex_147w.pdb 0.198
complex_75w.pdb 0.209
complex_96w.pdb 0.209
complex_183w.pdb 0.220
complex_42w.pdb 0.233
complex_122w.pdb 0.237
complex_47w.pdb 0.238
complex_13w.pdb 0.244
complex_76w.pdb 0.248
complex_97w.pdb 0.248
complex_19w.pdb 0.251
complex_179w.pdb 0.258
complex_120w.pdb 0.265
complex_193w.pdb 0.269
complex_22w.pdb 0.277
complex_145w.pdb 0.280
complex_170w.pdb 0.286
complex_18w.pdb 0.297
complex_57w.pdb 0.302
complex_111w.pdb 0.303
complex_133w.pdb 0.304
complex_91w.pdb 0.316
complex_163w.pdb 0.319
complex_110w.pdb 0.324
complex_10w.pdb 0.327
complex_20w.pdb 0.329
complex_44w.pdb 0.334
complex_62w.pdb 0.340
complex_30w.pdb 0.345
complex_82w.pdb 0.347
complex_43w.pdb 0.354
complex_185w.pdb 0.355
complex_66w.pdb 0.356
complex_81w.pdb 0.358
complex_4w.pdb 0.360
complex_157w.pdb 0.364
complex_24w.pdb 0.368
complex_68w.pdb 0.370
complex_102w.pdb 0.395
complex_153w.pdb 0.405
complex_60w.pdb 0.417
complex_90w.pdb 0.426
complex_38w.pdb 0.427
complex_74w.pdb 0.432
complex_187w.pdb 0.433
complex_37w.pdb 0.440
complex_23w.pdb 0.445
complex_168w.pdb 0.446
complex_152w.pdb 0.449
complex_196w.pdb 0.450
complex_173w.pdb 0.466
complex_195w.pdb 0.476
complex_69w.pdb 0.482
complex_1w.pdb 0.495
complex_40w.pdb 0.496
complex_50w.pdb 0.500
complex_83w.pdb 0.512
complex_126w.pdb 0.520
complex_199w.pdb 0.522
complex_59w.pdb 0.557
complex_178w.pdb 0.570
complex_138w.pdb 0.588
complex_125w.pdb 0.593
complex_197w.pdb 0.622
complex_200w.pdb 0.627
complex_87w.pdb 0.654
complex_73w.pdb 0.661
complex_77w.pdb 0.708
complex_156w.pdb 0.722
complex_161w.pdb 0.728
complex_99w.pdb 0.732
complex_191w.pdb 0.734
complex_49w.pdb 0.735
complex_189w.pdb 0.770
complex_144w.pdb 0.816
complex_72w.pdb 0.827
complex_114w.pdb 0.854
complex_134w.pdb 0.859
complex_103w.pdb 0.860
complex_31w.pdb 0.865
complex_71w.pdb 0.876
complex_32w.pdb 0.877
complex_136w.pdb 0.894
complex_46w.pdb 0.900
complex_109w.pdb 0.954
complex_41w.pdb 0.965
complex_130w.pdb 0.967
complex_86w.pdb 0.990
complex_184w.pdb 0.997
complex_162w.pdb 1.010
complex_166w.pdb 1.019
complex_149w.pdb 1.038
complex_115w.pdb 1.039
complex_16w.pdb 1.058
complex_64w.pdb 1.058
complex_171w.pdb 1.091
complex_48w.pdb 1.096
complex_5w.pdb 1.096
complex_100w.pdb 1.100
complex_176w.pdb 1.102
complex_21w.pdb 1.128
complex_51w.pdb 1.129
complex_113w.pdb 1.140
complex_92w.pdb 1.141
